Utterance,Article,Label
where can i find my old events,"Wix Events: Viewing Your Events\nKeep track of where your events are in your site's dashboard and which ones are displayed on your live site. In this article, learn how to:\n View event drafts (https://support.wix.com/en/article/viewing-your-events-in-wix-events#viewing-event-drafts) Filter your published events (https://support.wix.com/en/article/viewing-your-events-in-wix-events#filtering-your-published-events) View recurring events (https://support.wix.com/en/article/viewing-your-events-in-wix-events#viewing-recurring-events) View events on your live site (https://support.wix.com/en/article/viewing-your-events-in-wix-events#viewing-events-on-your-live-site)Viewing event draftsWhen you create a new event, you first save it as a draft. You can find all the drafts in the Drafts tab of your site's dashboard. To view event drafts:\n Go to Events (https://manage.wix.com/account/site-selector/?actionUrl=https%3A%2F%2Fwww.wix.com%2Fdashboard%2F%7BmetaSiteId%7D%2Fevents%2F&amp;title=Select+a+Site&amp;primaryButtonText=Manage+Events) in your site's dashboard. Click the Drafts tab on the left under Events. (If you created categories) You can select the relevant category from the Category drop-down.Filtering your published eventsFilters make it easy to find the specific published event, or events, you're interested in. View a list of your published events and add a status filter to show events that are upcoming, past, or canceled. You can also filter by category while you're filtering by event status. Tip:The option to filter by category appears only if you created categories (https://support.wix.com/en/article/creating-and-displaying-event-categories).To filter your published events: \n Go to Events (https://manage.wix.com/account/site-selector/?actionUrl=https%3A%2F%2Fwww.wix.com%2Fdashboard%2F%7BmetaSiteId%7D%2Fevents%2F&amp;title=Select+a+Site&amp;primaryButtonText=Manage+Events) in your site's dashboard. Select one or more filters: \n \n Event type Category Status Viewing recurring eventsTo create a recurring event, you first create an \""event template\"". Then, you can set 2 or more times (occurrences) when this recurring event takes place. When you publish, the individual occurrences of that event are created and can be edited separately. Tip:You can make changes to the \""event template\"" when it's a draft. After you publish, you can make changes only to individual occurrences.To view a draft of a recurring event:\n Go to Events (https://manage.wix.com/account/site-selector/?actionUrl=https%3A%2F%2Fwww.wix.com%2Fdashboard%2F%7BmetaSiteId%7D%2Fevents%2F&amp;title=Select+a+Site&amp;primaryButtonText=Manage+Events) in your site's dashboard. Click the Drafts tab on the left under Events. Click the event draft you want to view.\nTip: Recurring events display the number of event dates.To view a published recurring event:\n Go to Events (https://manage.wix.com/account/site-selector/?actionUrl=https%3A%2F%2Fwww.wix.com%2Fdashboard%2F%7BmetaSiteId%7D%2Fevents%2F&amp;title=Select+a+Site&amp;primaryButtonText=Manage+Events) in your site's dashboard. Select Recurring from the Event type drop-down.\nTip: This displays your \""event template\"". You'll see an indication of how many individual occurrences there are. Click Manage Events to view each occurrence.After you click Manage Events, you'll see a list of the individual dates this event takes place. From here you can add more dates and customize each occurrence of the recurring event. Viewing events on your live siteWix Events gives you the flexibility to display all published events or to select exactly the ones you want to display on a particular page (e.g. all upcoming events, all upcoming events in a category, selected events). Learn more about how to set which events are displayed on a site page (https://support.wix.com/en/article/wix-events-choosing-which-events-to-display-on-a-site-page).Tip:Don't see the event you expected to find on a site page? Check to see if it's still a draft or is set as \""hidden\"".",Irrelevant
where can i find my old events,"Wix Events: Adding and Displaying Past Events\nYou can display past events so site visitors can see what you've done - even if those events weren't managed through Wix Events. All past events display a \""Details\""button, instead of a \""Register Now\"" button.Learn more about working with past events:\n Add \""new\"" past events to Wix Events (https://support.wix.com/en/article/wix-events-adding-and-displaying-past-events#adding-a-new-past-event-1) Display past events on your site (https://support.wix.com/en/article/wix-events-adding-and-displaying-past-events#displaying-past-events-on-your-site) Adding a \""new\"" past eventIf you're new to Wix Events - but not new to creating conferences, parties, etc., you may want to display your event history on your site for clients to see. You can do this by adding past events to your site. These events will not be bookable, but site visitors can browse them and read the event details.To create past events:\n Create the past event (https://support.wix.com/en/article/wix-events-creating-a-single-event) following the same instructions as a regular event. In the Date and Time section, enter the date and time your event took place.\nNote: If you add an end date, it must also be in the past.Displaying past events on your siteChoose whether you want to display both past and upcoming event or just past events. To display past events on your site:\n Click the Wix Events app in the Editor. Click the Settings icon . Click the Display Events tab. Select an option:\n \n Display multiple past events:\n \n Under What do you want to show, select Multiple Events. Under Which events?, select an option:\n \n Upcoming and Past Past Events Display a single past event:\n \n Under What do you want to show, select Single Event. Scroll down and select the past event you want to display. Tip:To duplicate a past event, go to the event in the dashboard, click the More Actions icon, and then Duplicate.",Irrelevant
where can i find my old events,Wix Events: Accessing Your Wix Events Dashboard\nFrom your Events dashboard you can set up and manage the details of your event.To access your Events dashboard:Click here (https://www.wix.com/my-account/site-selector/?buttonText=Go%20to%20Dashboard&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/home/) to go to your site's dashboard.Click Events on the left.To access your Events dashboard from your Editor:Click the Wix Events app in the Editor.Click Manage Event.,Irrelevant
where can i find my old events,"Wix Events: Editing Past Events\nYou can display past events on your site to let guests know what kind of events you've already held. When you do, you can edit the text so it's clear that the event already took place. For example, you can change the \""Upcoming Events\"" title to \""View Our Past Events\"" and change each event's description to past tense.If necessary, you can edit other details. For example, you can add unregistered guests to the guest lists.To edit a past event:\n Go to Events (https://www.wix.com/my-account/site-selector/?buttonText=Open%20Wix%20Events&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/events/) in your site's dashboard. Make sure you're in the Published tab. Select Past from the Status drop-down. \n Click Edit next to the relevant event. Edit the available details. \nNote: Some details cannot be edited.Note:It's not possible to change a past event into an upcoming event. You can, however, duplicate a past event. Just click the More Actions icon next to the relevant event and select Duplicate as Draft.",Relevant
where can i find my old events,"Tracking Events in Wix Bookings Using Facebook Pixel\nWix automatically sends events to Facebook about your Wix Bookings (https://support.wix.com/en/article/about-wix-bookings) services on your site. Using the Facebook pixel, you can track events on your site such as views and purchases for each service you offer. Connect your site (https://support.wix.com/en/article/connecting-a-facebook-pixel-and-the-conversions-api-to-your-wix-site-7351813) to get started. The events you see in your Facebook account are:View Content: When a visitor views a service page.Initiate Checkout: When a visitor clicks on the \""Book Now\"" button.Select Date: After the user selects a date for his service.Add Payment Info: After the visitor added his payment information.Purchase: When a visitor books a service and is taken to the \""Thank-you\"" page.To see the event data in Facebook:Sign into your Facebook account. Click Ads Manager, located in the top left corner. Click Events Manager.",Relevant
where can i find my old events,"Wix Events: Deleting an Event\nYou can permanently delete any draft event, past event, or canceled event to remove it from your dashboard. Important:Deleted events cannot be restored. If you only want to remove it from your live site, you can go to the Editor to hide the event (https://support.wix.com/en/article/wix-events-choosing-which-events-to-display-on-a-site-page).In this article, learn how to:\n Delete an event draft (https://support.wix.com/en/article/deleting-an-event-in-wix-events#deleting-an-event-draft) Cancel an upcoming event (https://support.wix.com/en/article/deleting-an-event-in-wix-events#canceling-an-upcoming-event) Delete a past or canceled event (https://support.wix.com/en/article/deleting-an-event-in-wix-events#deleting-a-past-or-canceled-event)Deleting an event draftIf you saved an event draft and no longer need it, you can delete it. To delete an event draft:\n Go to Event drafts (https://www.wix.com/my-account/site-selector/?buttonText=Open%20Wix%20Events&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/events/) in your site's dashboard. Click the More Actions icon next to the relevant event. Click Delete Draft. Click Delete Draft to confirm.Canceling an upcoming eventYou cannot delete an event that is published and is upcoming (hasn't yet taken place). Instead, you can cancel the event. Learn how to cancel an upcoming event (https://support.wix.com/en/article/wix-events-canceling-an-event). Tip:Make sure to inform guests about the cancelation and refund tickets, if necessary. Deleting a past or canceled event\n Go to the Events tab (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Events&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/events/) in your site's dashboard. (Optional) Filter your events to access past or canceled events or search for the relevant event using the search bar.\n Click the More Actions icon next to the relevant event. Click Delete Event. Click Delete Event to confirm.",Irrelevant
where can i find my old events,"Wix Events: Designing a Ticket PDF for Your Event\nDesign a Ticket PDF to match the theme of your event or business. This is a great way to build excitement among guests and help with brand promotion. You can customize each ticket for easy event organization based on seating, entrance location, or ticket type (e.g., child and adult).Before you begin:\n Create an event (https://support.wix.com/en/article/wix-events-creating-a-single-event) and save it either as a draft or a published event. Before you can design a Ticket PDF, you must create a ticketed event (https://support.wix.com/en/article/creating-tickets-for-your-event). Step 1 | Access your ticketed eventTo get started, access the relevant ticketed event. You can design a Ticket PDF for new events or update the ticket design for existing events.To access your ticketed event:\n Go to Events (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Events&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/events/) in your site's dashboard. Click Manage next to the relevant event. Click the Tickets tab. Click Edit next to the ticket type. Click Design under Ticket PDF.Step 2 | Design your Ticket PDFDesign a new event ticket or revamp an existing ticket with a fresh look. Start by selecting a template of your choice and choose what event information appears on the ticket. You can also customize the ticket background, style the text, and add your own logo to promote your business.To design your Ticket PDF:\n Click the tabs on the left to customize your Ticket PDF:TemplateSelect a design that suits your event.\n Click Templates. Select the desired template.DisplayChoose what info you want the ticket to show.\n Click Display. Enable the toggle next to the info you want to show on the Ticket PDF (e.g. order number, QR code, ticket policy).\nTextCustomize the style of your event text in each of the four categories (e.g. event title, ticket details title, ticket details, and ticket policy).\n Click Text. Hover over the relevant text and click Customize. Choose what you want to customize and and format your text (e.g. font, size, color). ImageAdd an image to showcase your event. \n Click Image. Upload your desired image. (Optional) Edit the image using the Wix Photo Studio (https://support.wix.com/en/article/wix-media-about-the-wix-photo-studio). \n \n Click Save. (Optional) Click the relevant option to resize your image LogoPromote your brand by adding your own logo.\n Click Logo. Choose what to do next:\n \n Replace the existing logo: Hover over the logo and click Replace. You can choose a new file from the Media Manager. Edit the existing logo: Hover over the logo and click Edit. You can use the Wix Photo Studio to make adjustments. Create a logo: Click to access our Logo Maker (https://support.wix.com/en/article/wix-logo-accessing-the-wix-logo-maker), where you can design your own logo. DividersCustomize the divider style and color.\n Click Dividers. Choose how to customize the divider:\n \n Select a different style: Click any divider style to apply it. Change the color: Click the color box and select the color you want. Change the size: Set the size of the divider. BackgroundPick a color or upload an image for the background of your ticket. \n Click Background. Choose how to customize the background:\n \n Change the color: Click the color box and select the color you want. Add an image: Click the Add icon below Upload image, then (In the Media Manager) select or upload your image. Opacity: Drag the slider to change the transparency of the ticket color. 2. Click Apply.3. Click Back to Events at the top left.Step 3 | Preview and save the Ticket PDFOnce you've designed the way your ticket looks, click Save at the top right. This connects the certificate to your program, so it's automatically emailed to participants when they complete the program. If you're designing an existing event ticket, new guests who purchase ticket will recieve the newly designed ticket. Existing tickets will not.",Irrelevant
can i set different prices for different product variants,"Wix Stores: Adding and Customizing Product Options\nCreate product options so you can sell different versions of the same product. You can manage inventory for each variant separately, set different prices for different variants, make bulk changes and more.In this article, learn more about:\n Creating product options (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#creating-product-options) Displaying different images for each option choice (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#displaying-different-images-for-product-option-choices) Setting inventory preferences (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#setting-inventory-preferences) Setting different prices for variants (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#setting-different-prices-for-variants) Setting the cost of goods for variants (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#setting-the-cost-of-goods-for-variants) Adding weights to variants (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#adding-weights-to-variants) Editing multiple variants at once (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#making-bulk-edits-to-product-variants) Frequently Asked Questions (FAQ) (https://support.wix.com/en/article/wix-stores-adding-and-customizing-product-options#faqs)\n Creating product options Before you create product options, make sure you understand the product option terminology.\n Product Options: This refers to the type of option, for instance \""Color\"". Product Option Choices: This term refers to the available choices for a product option. For the \""Color\"" option, your choices might be \""Blue\"" or \""Green\"". Variants: This term refers to the specific item you sell. For example, if your product has 2 product options (size and color), and each of them has 2 choices (small or large; blue or green), your product has 4 variants:\n \n Small - blue Small - green Large - blue Large - green To create product options:\n Go to the Store Products tab (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Do one of the following:\n \n Click to select an existing physical product. Click New Product and select Physical. Scroll down to the Product Options section. Click + Add Options. Choose what you want to do:Create color-swatch options for your productIf you offer your product in different colors, customers can select the color they want by clicking a color swatch. You can select the exact shade.\n\n Enter Color under Type in an option name. Select Color under Show in product page as. Enter your first color choice (e.g. Purple) and press Enter on your keyboard. (Optional) Select a shade:\n \n Click the color you just added. Select a shade or enter a hexadecimal color value. Click the Checkmark icon . Repeat steps 3 and 4 to add additional colors. (Optional) Drag the option choices to rearrange their order. Click Add. Create drop-down list options for your productCreate any options you need, such as size. Customers select them from drop-down lists.\n\n\n Enter a name under Type in an option name (e.g. Size). Select List under Show in product page as. Enter your first product option choice (e.g. Small) and press Enter on your keyboard. Repeat step 3 to add additional option choices. (Optional) Drag the option choices to rearrange their order. Click Add.Tip: You can type in any option you need (e.g. If you sell the same ring with different gems, you can create a \""Gem\"" as the option name and \""Topaz\"", \""Jade\"", and \""Turquoise\"" as the option choices.Tip:You can change a product option name (e.g. Size). When you do, it updates for all products. Click the Settings iconnext to Product Options to get started. Displaying different images for product option choicesHelp customers visualize your product options by displaying separate images.Note:Each image can be linked to one set of option choices. For example, if a product has 2 colors and 2 shapes, you can link a different image to each color or each shape, but not to all 4 variants. You can vote for this feature (https://support.wix.com/en/article/wix-stores-request-ability-to-link-an-image-to-each-product-variant).To link images, GIFs, and videos to product option choices:\n Go to the Store Products tab (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Select a product with product options. Scroll down to the Product Options section and click Connect Images. If you created more than one type of option, select the relevant option. Click the Plus icon next to the first option choice. Select or upload one or more images for each option choice and click Done. Click Apply.Setting inventory preferencesYou can manage inventory for product variants in two ways:\n Tracking inventory: Track how many of a specific product variant you have in stock. When you make a sale, the inventory amount is automatically updated. In Stock / Out of Stock: You can manually assign product variants an \""In Stock\"" or \""Out of Stock\"" status. When you run out of a product variant, you can manually change the status to \""Out of Stock\"".To set how you manage inventory for variants:\n Go to Store Products (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Select a product with product options. Scroll down to the Product Options section. Click the Manage pricing and inventory for variants toggle to enable it. (Optional) Enter a unique SKU (Stock Keeping Unit) for each variant. Select an inventory management option:\n \n Track inventory:\n \n Click the Track Inventory toggle at the top right to enable it. Enter the total number of products in stock in the Inventory field. Mark inventory as In Stock / Out of Stock: \n \n Click the Track Inventory toggle at the top right to disable it. From the drop-down, select In stock or Out of stock. Click Apply.Setting different prices for variantsYou may prefer to sell different variants at different prices, for instance if you sell the same earrings in gold and silver. After you enter a price for the product itself, you can add an additional charge to more expensive variants. Alternatively, you can make a negative price difference to reduce the base price. To increase or decrease a variant price:\n Go to Store Products (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Select a product with product options. Make sure the Manage pricing and inventory for variants toggle is enabled. If you previously saved variant inventory options, click Edit.\n Select an option:\n \n Increase the base price: Under Price Difference, enter the price increase (e.g. enter 10 to raise the price by $10). Decrease the base price: Under Price Difference, enter the price reduction (e.g. enter -10 to lower the price by $10). Click Apply.Notes:\n If you set different prices, you can show that the price has a range (https://support.wix.com/en/article/wix-stores-displaying-product-prices-as-a-price-range) (e.g. From $12.00). If you display a price per unit (https://support.wix.com/en/article/wix-stores-displaying-the-product-price-per-unit) (e.g. $5 / 1 lb.) on your site, and you raise or lower the prices for product options, the correct price per unit adjusts automatically. Setting the cost of goods for variantsThe cost of goods is the amount it costs for you to make or buy the product. You can enter a single cost of good for a product that has variants. The profit and margin are calculated automatically.Alternatively, you can enter a separate cost of goods amount for each variant.To set the cost of goods for individual variants: \n Go to Store Products (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Select a product with product options. Make sure the Manage pricing and inventory for variants toggle is enabled. If you previously saved variant inventory options, click Edit. Enter the cost of goods for each variant.Adding weights to variantsIf you calculate shipping charges according to product weight (https://support.wix.com/en/article/wix-stores-setting-up-shipping-by-weight), you need to enter a weight for each of your product variants. To add weights to variants:\n Go to Stores Products (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Select a product with product options. Make sure the Manage pricing and inventory for variants toggle is enabled. If you previously saved variant inventory options, click Edit.\n Select an option:\n \n Enter a weight in the Shipping Weight field for each variant. Enter the same weight for each variant:\n \n Click Select All at the top left. Click Set Weight. Enter the weight. Click the Checkmark icon . Click Apply.Making bulk edits to product variantsAfter you create the product options you need, you can edit the price, weight, and inventory amount of multiple variants at once. For example, if you sell a product in 10 colors and 3 sizes, and want to add a weight to all 30 variants, you can do so in one go.To update multiple variants:\n Go to Store Products (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Products&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fstore%2Fproducts%3FreferralInfo%3Dsidebar) in your site's dashboard. Select a product with product options. Make sure the Manage pricing and inventory for variants toggle is enabled. Click Edit.\n Select which variants you want to update:\n \n All variants: Select the checkbox at the top left to select all variants. Variants with specific product options: Click the All drop-down at the top left and select a product choice (e.g. \""Small\"").\n Specific variants: Select the checkboxes next to the variants you want to update. \n Select the update you want to make from the options at the top right:\n \n Edit Cost of Goods: Enter the cost of good (how much it costs you to make or buy the product). Edit Price Different: Enter a positive or negative price difference to raise or lower the product's base price (e.g. enter -5 to reduce the variant price by $5). Edit Inventory: Enter an inventory amount (e.g. enter 20 to set the inventory amount to 20).\nTip: Go to the Inventory tab to do advanced bulk edits (https://support.wix.com/en/article/wix-stores-updating-inventory). Set Weight: Enter a weight. Click Apply. What's next?\n Update your inventory (https://support.wix.com/en/article/wix-stores-updating-inventory) whenever you get more merchandise. Use the Wix Owners app to scan barcodes (https://support.wix.com/en/article/wix-stores-managing-inventory-using-the-wix-owner-app). Click the Visibility icon to hide any variants you don't want to display in your store.\n Check out the full Wix Learn course on getting started with Wix eCommerce (https://www.wix.com/learn/courses/ecommerce/get-started-with-wix-ecommerce). FAQsCan I create product options for any product?You can create product options for any physical product, but not for digital products.How many options, choices, and variants can I create?\n Product Options: Each product can have up to 6 product options. Choices: Each product option can have 100 option choices. Variants: You can manage a total of 1000 variants.",Relevant
can i set different prices for different product variants,"Wix Stores: About Your eCommerce Settings\nFrom eCommerce settings you can customize the inner workings of your store. Create your store policies, customize the checkout fields, edit the email notifications you customers receive, and much more.Show me how to access my eCommerce settings\n Go to your site's dashboard (https://www.wix.com/my-account/site-selector/?buttonText=Go%20to%20Dashboard&amp;title=Select%20a%20Site&amp;autoSelectOnSingleSite=true&amp;actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/home/). Click Settings. Select eCommerce settingsTip:If you also use Wix Bookings on your site, some of these settings affect your bookings, as well. Learn more about eCommerce settings for Wix Bookings (https://support.wix.com/en/article/wix-bookings-managing-your-ecommerce-settings).OrdersIf you need to create an invoice for every order, you can do so automatically (https://support.wix.com/en/article/wix-stores-creating-invoices-for-store-orders#automatically-creating-invoices-for-each-order). In addition, you can control when your inventory quantities get updated (https://support.wix.com/en/article/wix-stores-setting-when-inventory-gets-updated) \u2013 as soon as an order is placed or when you receive payment for that order. Minimum order subtotalAdd a minimum order subtotal (https://support.wix.com/en/article/wix-stores-setting-a-minimum-order-amount) to stop customers from making small purchases that aren't profitable (e.g. Minimum order subtotal before tax and shipping is $50). Checkout PoliciesDisplay your business' policies (https://support.wix.com/en/article/wix-stores-customizing-the-checkout-page#adding-store-policies) on your checkout page so customers know what to expect.Item price settingsBy enabling the item price breakdown toggles, you can display tax or shipping polices (https://support.wix.com/en/article/wix-stores-displaying-tax-and-shipping-info-with-product-prices) next to product prices. The price range toggle (https://support.wix.com/en/article/wix-stores-displaying-product-prices-as-a-price-range) is a great way to communicate to customers that a product's variants are sold at different prices. Customize your checkoutNeed to collect more information from customers (https://support.wix.com/en/article/wix-stores-customizing-the-checkout-page#customizing-the-checkout-fields) checking out? You can do so by enabling any of the optional fields or by creating your own custom field. You can also add a subscription checkbox (https://support.wix.com/en/article/wix-stores-customizing-the-checkout-page#adding-a-subscription-checkbox) so customers can get your store updates.If your store uses gift cards (https://support.wix.com/en/article/wix-stores-setting-up-wix-gift-cards), make sure to enable the gift card toggle so customers can use it as a payment method. You can also give customers the option of letting you save and charge their credit card (https://support.wix.com/en/article/wix-stores-saving-and-charging-customers-credit-cards) or saving their card in their personal \""My Wallet\"" page (https://support.wix.com/en/article/about-fast-checkout).Order email notificationsPreview the various emails that are sent to customers (https://support.wix.com/en/article/wix-stores-about-emails-sent-to-customers) when they make a purchase, when an order is shipped, and so on. You can edit the email text to better suit your store's style.AutomationsView the automations (https://support.wix.com/en/article/wix-stores-sending-automated-emails-to-customers) you created, or click through to the Automations tab to create new ones.",Relevant
can i set different prices for different product variants,"This is a Feature request\nWix Stores Request: Varying Product Prices by Countries\nCurrently, it is not possible to set different prices for a product, that vary depending on the customer's country. We are always working to update and improve our products, and your feedback is greatly appreciated.If this is a feature you would like to see in the future, please click Vote for this feature and we'll make sure to keep you updated.",Irrelevant
